clothNumber,odds,participantId,raceId,trackName,time,participantName
1,SP,3061358495,4806999,Penn National,23:27,Your Turn
2,SP,3061358498,4806999,Penn National,23:27,Sky High Honey
3,SP,3061358501,4806999,Penn National,23:27,Barbie Loca
4,SP,3061358504,4806999,Penn National,23:27,Souparion
5,SP,3061358508,4806999,Penn National,23:27,Thriller Diller
6,SP,3061358511,4806999,Penn National,23:27,Panorama
7,SP,3061358514,4806999,Penn National,23:27,Oh My Dar
8,SP,3061358517,4806999,Penn National,23:27,Blue Chat
9,SP,3061358519,4806999,Penn National,23:27,Luminous Cielo
10,SP,3061358542,4806999,Penn National,23:27,Kisses For Romeo
1,SP,3061358496,4807000,Penn National,23:54,Smarty Maddy
2,SP,3061358499,4807000,Penn National,23:54,Bold N Talented
3,SP,3061358502,4807000,Penn National,23:54,Sweet Candy
4,SP,3061358505,4807000,Penn National,23:54,Ligia Elena
5,SP,3061358507,4807000,Penn National,23:54,Setting The Line
6,SP,3061358510,4807000,Penn National,23:54,Kalamitty
7,SP,3061358513,4807000,Penn National,23:54,Annies Revenge
8,SP,3061358516,4807000,Penn National,23:54,Zipline
9,SP,3061358520,4807000,Penn National,23:54,Sophie Station
1,SP,3061362431,4807016,Golden Gate Fields,23:45,Medicine Gal
2,SP,3061362439,4807016,Golden Gate Fields,23:45,Khalaya
3,SP,3061362446,4807016,Golden Gate Fields,23:45,Croix Du Soleil
4,SP,3061362453,4807016,Golden Gate Fields,23:45,Tiki Torch
5,SP,3061362460,4807016,Golden Gate Fields,23:45,Annisquam
6,SP,3061362466,4807016,Golden Gate Fields,23:45,Handful Of Pearls
7,SP,3061362469,4807016,Golden Gate Fields,23:45,Never Ends
8,SP,3061362471,4807016,Golden Gate Fields,23:45,Tizfit
1,SP,3061360502,4807002,Turfway Park,23:44,Rose's Valenwine
2,SP,3061360504,4807002,Turfway Park,23:44,Mr. Song
3,SP,3061360506,4807002,Turfway Park,23:44,Lucky Warrior
4,SP,3061360507,4807002,Turfway Park,23:44,Kilted Cowboy
5,SP,3061360509,4807002,Turfway Park,23:44,Inanewyorkminute
6,SP,3061360512,4807002,Turfway Park,23:44,Sky Fire
7,SP,3061360517,4807002,Turfway Park,23:44,Frost Or Frippery
8,SP,3061360523,4807002,Turfway Park,23:44,Crash Gate
9,SP,3061360529,4807002,Turfway Park,23:44,Devadutt
